source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type # Simulation starting time: 2026-01-01T00:00:00 UTC
mre1,mr1,390856.449,391104.442,1000000,0.054,low_dl
mgs2,mre2,394395.732,398749.461,1000000,1201.107,trunk
mre2,mgs2,394395.732,398749.461,4000000,1201.107,trunk
mgs2,mre1,394716.649,400875.475,1000000,1201.107,trunk
mre1,mgs2,394716.649,400875.475,4000000,1201.107,trunk
mr1,mre3,395379.131,407296.096,15000000,0.076,low_ul
mre3,mr1,395379.131,407296.096,1000000,0.076,low_dl
mr2,mre1,400392.403,401075.243,15000000,0.054,low_ul
mre1,mr2,400392.403,401075.243,1000000,0.054,low_dl
mgs2,mre2,401104.393,402892.521,1000000,1201.077,trunk
mre2,mgs2,401104.393,402892.521,4000000,1201.077,trunk
mgs2,mre1,401812.603,402892.414,1000000,1201.075,trunk
mre1,mgs2,401812.603,402892.414,4000000,1201.075,trunk
mr2,mre3,405210.434,416496.576,15000000,0.076,low_ul
mre3,mr2,405210.434,416496.576,1000000,0.076,low_dl
mr1,mre2,410231.481,410669.177,15000000,0.053,low_ul
mre2,mr1,410231.481,410669.177,1000000,0.053,low_dl
mgs1,mre1,425773.181,429299.836,1000000,1200.945,trunk
mre1,mgs1,425773.181,429299.836,4000000,1200.945,trunk
mgs1,mre3,425773.313,470018.933,1000000,1200.925,trunk
mre3,mgs1,425773.313,470018.933,4000000,1200.925,trunk
mr2,mre2,426338.704,426826.069,15000000,0.053,low_ul
mre2,mr2,426338.704,426826.069,1000000,0.053,low_dl
mgs1,mre2,427939.011,432289.067,1000000,1200.942,trunk
mre2,mgs1,427939.011,432289.067,4000000,1200.942,trunk
mr1,mre1,428848.406,429558.869,15000000,0.054,low_ul
mre1,mr1,428848.406,429558.869,1000000,0.054,low_dl
mgs1,mre1,430195.381,436406.102,1000000,1200.929,trunk
mre1,mgs1,430195.381,436406.102,4000000,1200.929,trunk
mr1,mre3,432235.474,443509.554,15000000,0.076,low_ul
mre3,mr1,432235.474,443509.554,1000000,0.076,low_dl
mgs1,mre2,434647.675,438997.007,1000000,1200.900,trunk
mre2,mgs1,434647.675,438997.007,4000000,1200.900,trunk
mgs1,mre1,437290.933,443512.436,1000000,1200.886,trunk
mre1,mgs1,437290.933,443512.436,4000000,1200.886,trunk
mgs1,mre2,441356.338,445704.949,1000000,1200.861,trunk
mre2,mgs1,441356.338,445704.949,4000000,1200.861,trunk
mgs1,mre1,444386.409,450618.849,1000000,1200.846,trunk
mre1,mgs1,444386.409,450618.849,4000000,1200.846,trunk
mr2,mre3,444468.871,455984.248,15000000,0.076,low_ul
mre3,mr2,444468.871,455984.248,1000000,0.076,low_dl
mr2,mre1,447326.995,447995.270,15000000,0.054,low_ul
mre1,mr2,447326.995,447995.270,1000000,0.054,low_dl
mgs1,mre2,448064.999,452412.891,1000000,1200.825,trunk
mre2,mgs1,448064.999,452412.891,4000000,1200.825,trunk
mgs1,mre1,451481.795,457725.354,1000000,1200.810,trunk
mre1,mgs1,451481.795,457725.354,4000000,1200.810,trunk
mr1,mre2,453148.783,453669.045,15000000,0.053,low_ul
mre2,mr1,453148.783,453669.045,1000000,0.053,low_dl
mgs1,mre2,454773.658,459120.833,1000000,1200.794,trunk
mre2,mgs1,454773.658,459120.833,4000000,1200.794,trunk
mgs1,mre1,458577.077,464831.966,1000000,1200.779,trunk
mre1,mgs1,458577.077,464831.966,4000000,1200.779,trunk
mgs1,mre2,461482.315,465828.773,1000000,1200.765,trunk
mre2,mgs1,461482.315,465828.773,4000000,1200.765,trunk
mgs2,mre1,464309.441,464832.146,1000000,1200.761,trunk
mre1,mgs2,464309.441,464832.146,4000000,1200.761,trunk
mgs2,mre3,464309.488,489286.137,1000000,1200.780,trunk
mre3,mgs2,464309.488,489286.137,4000000,1200.780,trunk
mgs2,mre2,464309.504,465828.781,1000000,1200.748,trunk
mre2,mgs2,464309.504,465828.781,4000000,1200.748,trunk
mgs2,mre1,465672.158,471938.865,1000000,1200.754,trunk
